time,username,tweet,replies_count,retweets_count,likes_count,product,name,label
07:47:11,anuarbekiman,id rather buy a model thank you,2,3,57,tm3,s,1
07:12:57,techronic9876,a lil surprised the bmw actually won also weird how quiet ev vs ev drag racing is bmw i4 m50 v tesla model performance drag race via,0,0,0,tm3,s,0
07:06:34,smoulderp,looking for a steal steering wheel trim for tesla model accessories car accessories model is now selling at product by high end car refitting store grab it asap,0,0,0,tm3,s,0
06:53:44,charlierichmond,tesla model will be europes best selling ev of,0,0,0,tm3,s,1
06:49:19,eclecticzebra,win a tesla model long range or cash,0,0,1,tm3,s,0
06:19:52,david_mccarey,my tesla model long range says otherwise incredible car with real world range even in winter of gt miles,0,0,1,tm3,s,1
06:14:05,itsalexanderc,looks like the new bmw is quicker then the m3p alright when can i get a faster model can we get a plaid m3 bmw i4 m50 v tesla model performance drag race via,0,0,0,tm3,s,-1
06:07:27,smoulderp,you wont believe this trunk storage box for tesla model accessories car accessories model tesla selling at by high end car refitting store selling out fast so be quick,0,0,0,tm3,s,0
06:01:13,wood_u,why we need a tesla model performance wagon via,0,0,1,tm3,s,0
05:53:47,therealjesal,if i see one more picture of a tesla model,1,0,0,tm3,s,-1
05:47:04,weeklyvoice,tesla model y prices hiked in china for rear wheel drive variant,0,1,0,tm3,s,-1
05:45:32,abhishekdharan,if youre trying to tweet it into existence may i suggest you ask for a tesla model instead it can drive you back after your shift is over so you can get home safely,0,0,0,tm3,s,0
05:44:31,underwater100x,yall needa check out the tesla model,0,0,0,tm3,s,0
05:11:06,spoilerscar,tesla model sedan rear lower lip bumper diffuser real carbon fiber ebay,0,0,0,tm3,s,0
05:01:46,dogecoin4tesla,currently doge at this rate a model costs standard range plus long range performance,0,0,0,tm3,s,0
04:36:41,northantssciu,hi david we have been through many conversations on here about ev policing the link below is our officers trialling model we have trialled ev cars amp vans already in force and have done since the first gen leaf they just arent there yet,1,0,6,tm3,s,0
04:29:25,whambaamyt,nadia spotted this tesla model in san diego she says it was definitely a rubbernecker,33,17,263,tm3,s,0
04:23:05,spoilerscar,real carbon fiber rear lower lip bumper diffuser tesla model sedan ebay,0,0,0,tm3,s,0
04:09:28,mahdiyarsaberi,3 part new tesla fsd beta video hour long road trip miles freeway autopilot and urban fsd in the model performance chill acceleration amp average fsd v11 tsla,1,0,3,tm3,s,0
04:06:42,bbharat54467809,tesla model y prices hiked in china for rear wheel drivevariant,0,0,0,tm3,s,-1
03:34:31,diddiebiddie,i just entered monthly amp you can too this months prize is a tesla model worth over k its free to enter amp you have until st december all information including ts amp cs can be found here,0,0,0,tm3,s,0
03:30:01,kdkaradio,all tesla model cars made from through were recalled this month due to rearview cameras that do not function,0,0,1,tm3,s,-1
03:13:05,leetyler,watch this bmw i4 m50 vs tesla model performance drag race video here is an interesting comparison of the newly launched top of the line bmw i4 m50 and tesla model performance,0,0,0,tm3,s,0
03:12:50,drv2035,nio et5 mid size smart electric sedan the nio et5 is the chinese automakers latest ev and is shaping up to be a tesla model rival in its home market the et5 will launch with kwh kwh and kwh battery pack options,3,0,0,tm3,s,0
03:11:59,out_of_spec,happy new year tesla model in snow w one all season tires do you even need snows,0,1,29,tm3,s,0
03:01:45,the_interface_,tesla model could have been the best selling car in europe last year,0,0,1,tm3,s,1
02:55:54,cousins_pete,on a tesla model pah ive been down to miles left on our ev and i was fine youre so spoilt,1,0,1,tm3,s,0
02:25:24,blooprintgames,2021 hit mil graduated high school bought a house hit mil bought a tesla model was an amazing year for me personally im very lucky i wasnt heavily effected by covid and was able to continue to flourish ended the year with the new whip,111,46,1885,tm3,s,0
02:24:01,teslanewsdaily,tesla model y prices hiked in china for rear wheel drive variant business standard,0,0,0,tm3,s,-1
02:02:01,teslanewsdaily,heres how the bww i4 compares with the tesla model hotcars,0,0,0,tm3,s,0
01:45:36,kcbsradio,all tesla model cars made from through were recalled this month due to rearview cameras that do not function increasing the risk of crash,0,0,2,tm3,s,-1
01:40:20,nin_droid_a,i would take a range rover over a tesla model tbh,0,0,0,tm3,s,-1
01:31:46,evmyt1,looks like bmw gave the i4 enough shove to shove the model performance aside maybe its time to swap the model,0,0,0,tm3,s,-1
01:21:25,scottullman,model awd is the best handling car ive ever driven in the snow,2,0,5,tm3,s,1
01:13:25,bikecarlovers1,bmw i4 m50 vs tesla model performance dragrace,0,0,0,tm3,s,0
01:05:20,_humphreymugo,bmw following suit the bmw ix3 and im4 the im4 is better than a tesla model performance except its a little bit highly priced,0,0,1,tm3,s,-1
01:00:16,esdesigns4,the update to the sound system in my model is definitely noticeable i especially enjoy uncomfortable by wub wub ftw,0,0,0,tm3,s,1
00:55:24,portelvoip,quite a few in our area mainly tesla model s but quite a few other brands too lets face it who wants to get stuck with a diesel or petrol car to get rid of once the music stops,0,0,1,tm3,s,0
00:38:51,virtualpangea,have you made a new years resolution yet how about filling out a form that might win you a brand new tesla model or k in ethereum be one of the first k people to fill out the form on and youll receive a free polygon minted hogeman nft game key,1,5,22,tm3,s,0
00:15:21,latestly,elon musks tesla hike prices of model and model y for rear wheel drive variant in china,0,0,0,tm3,s,-1
00:10:55,auto,watch this bmw i4 m50 vs tesla model performance drag race,0,0,0,tm3,s,0
00:10:11,technosports_in,tesla model and model y mcu3 infotainment computers to be powered by amds next gen ryzenchips,0,0,0,tm3,s,0
00:03:26,onlineev,tesla model mercedes benz eqs and more,0,3,0,tm3,s,0
23:52:20,ve60271219rohit,phone mount adjustable monitor expansion bracket car magnetic screen side phone support holder for tesla model y x s,0,0,0,tm3,s,0
23:50:03,amknews1,bmw i4 m50 and tesla model compete in performance dragrace,0,0,0,tm3,s,0
23:44:51,itouchappreview,torn between tesla model performance and dodge charger scat pack wide body very different beasts the chargers sound and power emanate even through youtube videos so im leaning towards it tesla seems to not have a soul likely due to its silence _ _,2,0,1,tm3,s,-1
23:41:15,teslanewsdaily,watch this bmw i4 m50 vs tesla model performance drag race insideevs,0,0,0,tm3,s,0
23:29:51,insideevs,watch this bmw i4 m50 vs tesla model performance drag race via,6,10,38,tm3,s,0
23:10:11,outfrontparts,car interior lights for tesla model model y accessories easy to install led strip neon light tubes rgb with app controller,0,0,0,tm3,s,0
23:05:24,preston,to kick off the new year and i are giving away a brand new tesla model or to one grand prize winner go to my instagram post for details on how to enter,37,60,932,tm3,s,0
23:04:05,aloxpresstore,model3 window lift switch button door open panel sticker trim for tesla model y abs plastic interior car accessories,0,0,0,tm3,s,0
22:59:57,andydingej,tesla model becomes europes best selling ev in,0,0,0,tm3,s,1
22:55:31,future_yas,nice to see more competition in this segment bmw i4 m50 v tesla model performance drag race via,1,0,0,tm3,s,0
22:19:33,vrb1955,tesla model recalled due to issues with rear camera connection increasing risk of collision via,0,0,0,tm3,s,-1
22:14:00,satishseo1980,tesla model y prices hiked in china for rear wheeldrive,0,0,0,tm3,s,-1
07:53:46,aguedita68,2022 tesla model and y in north america now use amd ryzen chip and v li ionbattery,0,0,0,tm3,s,0
07:25:41,charlierichmond,uk police are testing tesla model with promising results cleantechnica,0,1,2,tm3,s,1
07:08:21,charlierichmond,tesla model performance takes on bmw i4 m50 in a drag race drive tesla,0,0,0,tm3,s,0
07:08:05,luistorms,its and ode to all things gone wrong really pictured in a tesla model the supercharger network would have seen her through without the need to plug in to kwh chargers choose the wrong person for the assignment,0,0,0,tm3,s,-1
07:01:02,clevelanddotcom,the tesla model y and the tesla model were the two top sellers in ohio through october together they accounted for or of the new electric vehicles registered in state during that time according to data from ihs markit,0,1,0,tm3,s,1
06:44:05,whizkid7,will model be best selling electric vehicle ev of the whole year of,0,3,2,tm3,s,1
06:41:09,coffeetabletsla,has anyone beat stage in skyforce reloaded on tesla model mine glitches out on the boss at the end cant shoot anything and it just sits there aimlessly shooting downwards,3,0,2,tm3,s,0
06:17:31,salty_nz,wow thats almost as cheap as a tesla model after clean car rebate great value for money,0,0,0,tm3,s,0
06:02:05,matrixfanlive,amds next gen ryzen chips will power tesla model model y computers tweaktown,0,0,0,tm3,s,0
05:55:35,anna26458,tesla model and model y get dancing lights in holiday update,0,0,0,tm3,s,0
07:57:07,bodykits1,for tesla model black blade front bumper lip spoiler bodykit pcs ebay,0,0,0,tm3,s,0
07:46:57,patizzle,yes after my nissan quest electrical system died i bought a tesla model,0,0,0,tm3,s,0
07:43:14,danb1a,so far my current tesla model long range,0,0,1,tm3,s,0
07:21:38,ezebroni,selling my tesla model performance tomorrow it will be bittersweet but cant wait to order my hope its worth it,3,0,14,tm3,s,0
07:08:04,spoilerscar,for tesla model sport carbon fiber rear trunk spoiler wing flap pcs ebay,0,0,0,tm3,s,0
07:03:29,joshpollak,both this morning and tonight on my way home my model door was frozen i get into the car by tapping all around the door handle till it pops open but the window is frozen in the up position and something is preventing the door latch from shutting correctly,1,0,0,tm3,s,0
06:52:34,spoilerscar,for tesla model sport gloss black rear trunk spoiler wing flap pcs ebay,0,0,0,tm3,s,0
06:35:27,therideshareguy,uberin with a tesla model,0,1,6,tm3,s,0
06:32:17,ximtex,happy new year tesla model in snow w nokian tyres one all season tir via,0,0,0,tm3,s,0
06:15:02,teslanewsupdate,tesla model was the top selling car in switzerland in,0,0,0,tm3,s,1
06:01:36,safaroms,tesla model handles super well in a snowstorm,0,0,1,tm3,s,1
05:51:55,eyaven,norway car sales another year with record share of bevs at and phevs at combined tesla model the most popular car,2,11,41,tm3,s,1
05:42:55,holtmoney51,average age of tesla model owner is versus for average new car buyer,1,0,0,tm3,s,0
05:32:03,spoilerscar,white painted rear trunk spoiler wing flap pcs fit for tesla model ebay,0,0,0,tm3,s,0
05:13:23,oerockets,tesla model the way to go for a new car or am i missing something,17,0,6,tm3,s,1
07:53:04,motorireland,the best cars of electric vehicles suvs and tesla model,0,0,0,tm3,s,0
07:45:14,lorakolodny,icymi we talked about the nhtsa recall for some tesla model and s vehicles for rear camera coaxial cable and frunk latch issues respectively it was in china too not just the us applies to cars including made in china model s,0,2,21,tm3,s,-1
07:40:57,briandu24865971,i read an analysis of a tesla model running heat only it would last more than days on a charge how long will a tank of gas last if you are idling and running the heater,5,0,25,tm3,s,0
07:40:07,charlierichmond,tesla model is norways top selling car in with model y sales,0,0,0,tm3,s,1
07:39:34,spoilerscar,for tesla model real carbon fiber airplane rear trunk spoiler wing flap ebay,0,0,0,tm3,s,0
07:22:30,glynhudson,some premium evs have double glazed glass e g tesla model and audi etron however i think they have it more for acoustic performance to reduce road noise rather than thermal performance but it must help,0,1,1,tm3,s,0
07:21:56,rex_irby,just ran miles chicago to texas loop days ago and superchargers rates are kwh and miles per kwh was the norm at mph cruise that comes to a real tesla model only supercharger world of cents per mile,0,0,0,tm3,s,0
07:18:47,budyoush,is drop in batter range in tesla model after months and kilometers acceptable at the point of sale teslas calculation for savings compared to gas cars assumed a full battery range without any drop,0,1,1,tm3,s,0
07:15:58,mahdiyarsaberi,2022 is not so bad just model performance myself and i tesla,2,0,2,tm3,s,0
07:00:08,chrisyeo,top rated ev is tesla model edmunds writes,0,0,0,tm3,s,1
05:14:09,spoilerscar,fit for tesla model spoiler original wing car rear spoiler t ebay,0,0,0,tm3,s,0
04:59:49,shanytc,drove a tesla model lr today never had a smile on my face like i had on that acceleration damn,0,0,1,tm3,s,1
04:59:07,gepasi,on a tesla model long range keeping the car at f inside when it is freezing outside takes charge for hours so i would say that unless they were at lt they should be better than anyone in a gas car,4,2,43,tm3,s,-1
04:34:23,velolink,this is youtuber bjrn nyland in norway at c f sleeping in his tesla model sleeping warm and confy for hours using battery,0,0,1,tm3,s,1
03:53:46,evafoxu,tesla model is norways top selling car in with model y sales ready for lift off,1,4,33,tm3,s,1
03:42:32,epionox,of course eqs has a higher range because it has a bigger battery in it you have to look at the efficiency tesla model lr wh km eqs lr has wh km,2,0,1,tm3,s,1
03:39:29,pranakasha,which is why my tesla model has a heat pump that keeps the battery pack at optimum temperature no matter what the season,1,0,5,tm3,s,0
03:19:13,johnhanley1982,any pictures whats the main reason over something like the tesla model thinking electric for the next one in about months id like a model x but dont have k lying around a colleague has just took delivery of a polestar if thats how you spell it,1,0,0,tm3,s,0
03:09:47,marksofla,tesla model lr can sort of do that miles out of an kwh battery i think,1,0,0,tm3,s,0
02:58:30,xanderhook1,nationwide poll of which car swedes wish they owned topp polestar tesla model porsche source,1,0,1,tm3,s,1
02:56:44,wiselionman,when i am ready to trade in my tesla model i am going to buy a tesla roadster,0,0,0,tm3,s,1
02:37:31,johnecohound,and to think that has of the overall market while only selling the which is more than other brands can do with multiple models amp fuel sources,0,0,2,tm3,s,0
02:31:06,bodykits1,for tesla model matte black rear bumper diffuser lip spoiler refit ebay,0,0,0,tm3,s,0
02:27:31,musa,whats fascinating though is how quickly you can get a tesla model vs a lot of other brands bmw are currently cutting so many features in their vehicles eg the latest x5s are being shipped without touch screens,1,0,3,tm3,s,0
02:22:03,oemdtc,sb rearview camera image may not display tesla model,0,0,0,tm3,s,0
02:21:52,c_s_skeptic,question for the gamers who here uses the microsoft truck simulator if parameters permit would like them to run a sim of what would happen to a tesla model running through the vegas loop at mph as advertised in their original contract actual speed same as a school zone,3,1,16,tm3,s,0
02:14:36,spoilerscar,for tesla model starry sky grain airplane rear trunk spoiler wing flap ebay,0,0,0,tm3,s,0
02:13:32,realteslanorth,first look tesla model with amd ryzen hands on video,3,21,196,tm3,s,0
02:08:17,sparkm3dia,nyland used camp mode to see how well his tesla performs in the frigid snowy temps in norway he camped for twenty four hours in temperatures at f c and the charge in his tesla model went from a full charge to around charge in those chilling temps,0,0,0,tm3,s,0
01:53:04,michaelmiraflor,wait time for a base tesla model is still months it was months months ago im not in the market but use this as a supply chain proxy of sorts,4,0,7,tm3,s,0
01:38:11,martin32141,commenting on twitter post until he surprises me with a tesla model performace post nr,0,0,0,tm3,s,0
01:36:20,mystocknewsfeed,tesla model is norways top selling car in with model y sales ready for lift off tsla,0,1,0,tm3,s,1
01:24:38,oscarvat,it looks good has to be aerodynamic and that function has to trump form to some extent that nose is looking very tesla model but whatever happened to this car from,0,0,1,tm3,s,0
01:13:01,teslaoracle_com,know how much battery of a tesla model is drained when it is left unplugged during a super cold winter night in temperatures as low as,0,2,2,tm3,s,0
01:06:05,hitoarab,watch bmw x5 phev rescue stranded tesla model by tow charging it,0,0,0,tm3,s,0
00:52:02,cinchuk,is bmws hp i4 edrive40 the four door electric car with the best chance of luring buyers from the tesla model let sam run you through the basics in our latest video,0,0,2,tm3,s,0
00:49:25,centennial_inc,ive been driving my tesla model without any heat since december th i tried to schedule a service and the earliest appointment i was able to book was january th second major issue ive had rethinking my decision on this vehicle,0,0,0,tm3,s,-1
00:46:13,vehiclehistory,tesla is recalling almost vehicles including certain years of its popular model and model s sedans over dangerous visibility issues that can increase the odds of an accident,0,0,0,tm3,s,-1
00:17:30,carclassified_,2018 tesla model long range blue used for sal,0,0,0,tm3,s,0
23:55:45,timdoes,okay im gonna try this tidal thing out on my sr any advice on whether hifi plus is a waste for my model,0,0,0,tm3,s,0
23:45:59,gaurangchacks,hyundai kia are just phenomenal ev companies ioniq and ev6 by the respective companies have shown the world how much cost effective an ev can be hyundai ioniq kia ev6 might not have acceleration or tech like a tesla model but they offer stellar value for money,1,0,0,tm3,s,0
23:38:52,prestigelease,happy new year from all at morgan highfield amp land the long range telsa model is a desirable electric car and is supported by teslas awesome supercharging network keep up your mega work tesla were massive fans,0,0,0,tm3,s,1
23:17:46,evehiclesera,upcoming electric cars in india tesla model mercedes benz eqs andmore,0,0,0,tm3,s,0
23:17:01,scidood,here are the final bev stats for the three countries in europe reporting daily top companies vw group tesla hyundai kia stellantis renault nissan mitsubishi top models tesla model vw id skoda enyaq ford mach e tesla model y ht,0,3,10,tm3,s,0
23:15:07,ctr4autosafety,tesla inc model rearview camera image may not display vehicles potentially affected,0,1,2,tm3,s,-1
22:53:01,katjagideja,in my city in germany there are two model vehicles and two model y well im not that rich to buy one yet but why not to give it a try im gonna do it for f k sake,0,0,0,tm3,s,0
22:16:16,robblackwellab,if affordable is k the tesla model long range has a mile rated range but its around k,1,0,0,tm3,s,0
22:13:00,t0ki3n,check cosmos kidz out they are currently having a tesla giveaway tesla model giveaway to the person who has ownership of the elon nft upon reveal and also staking of nfts get wl before launch,0,0,2,tm3,s,0
22:12:44,kalipramod,in bought standard range plus instead of lr awd and bought tsla with remaining cash difference today tsla can buy many models thank you,0,0,0,tm3,s,1
22:02:40,s3xy_ch,congrats and is the most sold car model including ices of in switzerland beating skoda octavia audi q3 vw tiguan,1,1,3,tm3,s,1
22:00:32,500global_sea,500 backed plans to introduce more electric vehicles following the malaysian governments announcement of tax incentives for evs the tesla model is currently already available on its platform read more photo credit carsome,0,0,1,tm3,s,0
21:46:55,chinadriven,xpeng p7 tesla model rwd nio ec6 zeekr i cheated a bit,1,0,2,tm3,s,0
21:21:51,bbmorg,joe aged likes tesla model s he would like to know your favourite cars,69,3,39,tm3,s,1
20:48:06,marfua_a,paris taxi firm suspends use of tesla model cars after fatal crash,0,0,0,tm3,s,-1
20:45:02,brendanhaskins,a tesla model can keep you comfortable in it for days before the battery goes i assume you missed where he said cars were out of gas tho,1,0,0,tm3,s,1
20:19:57,nspector4,hundreds of quebec subsidized tesla model evs have been resold at a good profit in ontario over the past three years,2,3,6,tm3,s,0
19:46:06,spoilerscar,for tesla model real matte carbon fiber rear trunk spoiler wing flap ebay,0,0,0,tm3,s,0
19:17:17,raybarr05449672,tesla model w nokian all seasons do you even need snow tires in plastic cars heaters on full how long think batteries last for what joke on road used batteries to flat wrecks cells never be fully charge again,0,0,1,tm3,s,0
19:15:05,spoilerscar,for tesla model gloss black with light rear trunk spoiler wing flap ebay,0,0,0,tm3,s,0
18:35:36,shahpurturkcsc,norways electric vehicle sales now at percent of total car sales tesla model leads,0,0,0,tm3,s,1
18:26:07,spoilerscar,for tesla model starry sky grain sport rear trunk spoiler wing flap ebay,0,0,0,tm3,s,0
18:09:15,appletesterrus,volkswagen is in second place with the most popular electric car of in norway is the tesla model to encourage the transition to electric vehicles norway has exempted battery electric vehicles from taxes levied on cars with internal combustion engines it is,1,0,0,tm3,s,1
07:58:44,abehiel,tesla model performance got about hours in pretty cold weather without a person in it the person would warm a bit,0,0,1,tm3,s,0
07:50:34,bodykits1,carbon fiber rz style rear bumper lip diffuser bodykit for tesla model ebay,0,0,0,tm3,s,0
07:41:49,srtlife_dc,video challenger srt hellcat vs tesla model performance mile video challenger srt hellcat vs tesla model performance mile view on wordpress,0,0,0,tm3,s,0
07:41:35,srtlife_dc,video challenger srt hellcat vs tesla model performance mile,0,0,0,tm3,s,0
07:04:07,bodykits1,for tesla model matte carbon fiber rear window spoiler wind knife ebay,0,0,0,tm3,s,0
06:53:43,johnscarpaci,not only did ota updates make the cat get better the car got better too its a tesla model,0,0,0,tm3,s,1
06:48:17,soupoftheday15,the big stuff pays for the small stuff theres no way the tesla model would exist if it hadnt been for those self important people spanking k plus on model x and model s,1,0,1,tm3,s,0
06:19:27,alcorpage,the latest polestar advertising sells it as a sports car it couldnt hold a candle to my porsche taycan s cross turismo never mind the more powerful versions just accept the polestar2 is a performance car preferable to the tesla model,1,0,0,tm3,s,-1
06:18:24,realdan203,a tesla model will run for hours in subzero temps with heat set to f,0,0,1,tm3,s,0
05:56:34,spoilerscar,gloss black prevent water rear boot spoiler wing flap for tesla model ebay,0,0,0,tm3,s,0
05:49:36,stageivtesla,campground calls them the only question we have is what type of equipment are you camping in me a tesla model them im gonna have to go to google long pause so its a car me google next this shouldnt be such a challenge,0,0,3,tm3,s,0
05:38:04,nzstuff,the ranger still rules supreme but the tesla model became the first ev to break into the top ten new car sales for the year in,0,0,5,tm3,s,1
05:29:39,synopsistech,first person to buy me a tesla model gets m amp ms,0,0,0,tm3,s,0
05:25:25,wunnagod,tesla model matte black im the winner,0,0,0,tm3,s,0
05:25:03,bodykits1,carbon fiber rz rear bumper lip diffuser bodykit fit for tesla model ebay,0,0,0,tm3,s,0
05:24:38,orangie,ill offer u my tesla model matte black for bayc,12,1,40,tm3,s,0
05:09:03,bodykits1,for tesla model forge carbon fiber rear bumper lip diffuser bodykit ebay,0,0,0,tm3,s,0
05:04:11,onlyusedtesla,for sale used tesla model long range awd full self driving red white miles alexandria virginia,0,0,0,tm3,s,0
04:55:03,adamsherringham,selling the audi s4 should i go for a tesla model charging ports at work or a jag f type i love them so much,0,0,0,tm3,s,1
04:36:06,spoilerscar,carbon fiber rc style rear spoiler tail lip wing bar for tesla model ebay,0,0,0,tm3,s,0
04:35:15,kr_rollins,tesla model will be europes best selling ev of teslarati go elon musk for electrifying the entire world and america in particular with ev you are the leader in this vocational field im serious a i m,0,0,0,tm3,s,1
04:19:22,chris06902330,new model competitor with km range spotted,0,1,6,tm3,s,0
04:16:42,p02016955,yep tesla model is pretty good i drove a bmw i3 once and it drains like crazy would not recommend probably the same as a chevy volt or other similar garbage,0,1,0,tm3,s,1
04:04:05,spoilerscar,forged carbon fiber p style rear spoiler tail lip bar for tesla model ebay,0,0,0,tm3,s,0
03:59:48,larrykellogg,i remember driving in england for the first time and the look of pure terror on my friends face when i almost ran into objects i wore out a hip joint shifting in stop and go traffic these days my tesla model takes care of a lot of the driving autosteer is terrific,1,0,1,tm3,s,1
03:57:57,thomaspower,the model long range really does not like cold weather and the uk is not that cold data source,0,0,0,tm3,s,0
03:53:16,_rebeccamills,im sitting in nz and trying to decide the same thing very limited availability here across most models in part due to useful govt subsidy of around k nzd off new vehicles kona a great option although price point around k a standard tesla model cheaper than that,1,0,0,tm3,s,0
03:48:35,bodykits1,forged carbon fiber battle front bumper lip splitter for tesla model ebay,0,0,0,tm3,s,0
03:24:54,_42________,the tesla model with a heat pump can already pass hours mine without a heat pump can easily do hours,0,0,2,tm3,s,0
03:24:49,bnolan,over the summer break i went caravanning towing our caravan behind a tesla model i made a little video about it here,1,1,2,tm3,s,0
03:15:16,ns123abc,prediction tesla model will be the top selling ev this year,0,0,1,tm3,s,1
03:02:13,brandondubisky,f lightning is the best looking but ill be buying a tesla model i already have a ram for truck stuff,0,0,1,tm3,s,1
07:55:57,elmarmoelzer,we will see models s and x are not big sellers as they are the luxury models the tesla model and model y are the ones that sell the best so mercedes or someone else would have to beat those in order to significantly affect teslas bottom line,2,0,0,tm3,s,0
07:50:11,andyjametweets,im impressed how a tesla model s d after miles has held up,0,0,1,tm3,s,1
07:46:12,andyjametweets,how a tesla model s d after miles holds up,0,0,0,tm3,s,0
07:43:16,charlierichmond,tesla model is uks best selling car in melting the competi,0,0,0,tm3,s,1
07:41:03,charlierichmond,tesla model defeats ice to be uks top selling car in december,0,0,0,tm3,s,1
07:20:57,tonylcasillas,uk plug in car sales top in tesla model overall,0,1,0,tm3,s,1
07:18:27,georgia59728054,its called tesla model second chevy has already gone electric back in with the chevy spark third teslas values are gonna plummet as everything begins to change we are just in the beginning of a new era youre about to be looking like a mf robot in that truck,0,0,0,tm3,s,-1
07:13:10,robr44133618,shocking total lack of evs in this list its a different world in europe in the uk tesla model was ranked second for as a whole first in december sales where it had of the whole car market all bevs had several other countries are ahead of us not just norway,0,0,3,tm3,s,0
07:09:24,jewhittingham,id like to see you try to drive to vancouver in it so would i with a modern car you can and you wont even spend that much extra time doing so heres an example of a tesla model s trip from to vancouver,0,1,2,tm3,s,0
06:59:53,kangaro0_,when i build a home i definitely want tesla roof tesla wall of course i want a tesla model tesla phone this is my ambition for next years,0,0,0,tm3,s,1
06:47:02,boats_cars,vw overtakes ford for the first time vauxhall corsa and tesla model top market up best selling carsblog,0,0,0,tm3,s,1
06:41:41,im_cwood,the tesla model must be on sale,0,0,0,tm3,s,0
06:31:49,nilon75349784,a tesla model wont work if you explode a fusion nuclear bomb directly next to it checkmate tesla fanboys,0,0,1,tm3,s,0
06:26:19,blacknessinxtra,i just got a ride in a tesla model it was smooth and like riding in a glass box even pushed a button to open the doors,1,0,7,tm3,s,1
06:09:39,21five_public,average fuel consumption for new cars is about mpg in nyc a tesla model gets the equivalent of mpg when charging locally its only x more efficient and large power plants are less polluting per unit of energy than individual cars,0,0,0,tm3,s,1
06:05:27,peterhulbert195,tesla model becomes uks top selling car as petrol and diesel sales slump,0,0,0,tm3,s,1
05:59:22,greatpaul_smith,observation of new tsla temporary registration plates in socal i have never seen so few temp tags since the tesla model started mass production the few that ive seen were all the dual motor very few model ys model s are sr in cali tslaq cc,2,1,10,tm3,s,0
07:46:15,unitednegro,regenerative on tesla model track mode isnt the it used to be feels like the normal max sans track mode,0,0,0,tm3,s,-1
07:43:03,greekmoney,elon musk tesla model wont come with a kwhbattery,0,1,1,tm3,s,0
